Vowel, kMeans, LBG
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
a    , 4     , 7
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 1
e    , 2     , 1
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 5
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 5
e    , 2     , 1
e    , 2     , 5
e    , 2     , 5
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 1
e    , 2     , 5
e    , 2     , 5
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 2
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 6
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
i    , 0     , 2
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
o    , 4     , 3
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 4
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 4
u    , 3     , 4
u    , 3     , 4
u    , 3     , 4
u    , 3     , 4
u    , 3     , 4
u    , 3     , 4
u    , 3     , 0
u    , 3     , 0
u    , 3     , 4
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 0
u    , 3     , 4
